Timestamp,Caller IP,Caller User Agent,Principal Email,Permission,Service,Method
2023-11-24T09:07:55.406630+00:00,218.146.20.61,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,"serviceusage.services.enable, serviceusage.services.enable, serviceusage.operations.get, serviceusage.services.get","projectnumbers/1096092963246, projectnumbers/1096092963246, projectnumbers/1096092963246/operations/-, projectnumbers/1096092963246/services/-","projectnumbers/1096092963246, projectnumbers/1096092963246, projectnumbers/1096092963246/operations/-, projectnumbers/1096092963246/services/-"
2023-11-30T01:19:16.442195+00:00,211.58.157.43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,"serviceusage.services.enable, serviceusage.services.enable, servicemanagement.services.bind","projectnumbers/1096092963246/services/stackdriver.googleapis.com, projectnumbers/1096092963246/services/stackdriver.googleapis.com, services/stackdriver.googleapis.com","projectnumbers/1096092963246/services/stackdriver.googleapis.com, projectnumbers/1096092963246/services/stackdriver.googleapis.com, services/stackdriver.googleapis.com"
2023-11-30T01:19:16.442195+00:00,211.58.157.43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,"serviceusage.services.enable, serviceusage.services.enable, servicemanagement.services.bind","projectnumbers/1096092963246/services/stackdriver.googleapis.com, projectnumbers/1096092963246/services/stackdriver.googleapis.com, services/stackdriver.googleapis.com","projectnumbers/1096092963246/services/stackdriver.googleapis.com, projectnumbers/1096092963246/services/stackdriver.googleapis.com, services/stackdriver.googleapis.com"
2023-11-30T01:19:17.108640+00:00,211.58.157.43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,"serviceusage.services.enable, serviceusage.services.enable, serviceusage.operations.get, serviceusage.services.get","projectnumbers/1096092963246, projectnumbers/1096092963246, projectnumbers/1096092963246/operations/-, projectnumbers/1096092963246/services/-","projectnumbers/1096092963246, projectnumbers/1096092963246, projectnumbers/1096092963246/operations/-, projectnumbers/1096092963246/services/-"
2023-11-30T01:19:18.009148+00:00,211.58.157.43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,"serviceusage.services.enable, servicemanagement.services.bind","projectnumbers/1096092963246/services/stackdriver.googleapis.com, services/stackdriver.googleapis.com","projectnumbers/1096092963246/services/stackdriver.googleapis.com, services/stackdriver.googleapis.com"
2023-11-30T01:19:18.009148+00:00,211.58.157.43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,"serviceusage.services.enable, servicemanagement.services.bind","projectnumbers/1096092963246/services/stackdriver.googleapis.com, services/stackdriver.googleapis.com","projectnumbers/1096092963246/services/stackdriver.googleapis.com, services/stackdriver.googleapis.com"
2023-11-30T01:19:20.819934+00:00,211.58.157.43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,"serviceusage.services.enable, serviceusage.services.enable, serviceusage.operations.get, serviceusage.services.get","projectnumbers/1096092963246, projectnumbers/1096092963246, projectnumbers/1096092963246/operations/-, projectnumbers/1096092963246/services/-","projectnumbers/1096092963246, projectnumbers/1096092963246, projectnumbers/1096092963246/operations/-, projectnumbers/1096092963246/services/-"
2023-11-30T01:29:13.262061+00:00,211.58.157.43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,logging.buckets.create,projects/mzdmz-solution-test/locations/global/buckets/test,projects/mzdmz-solution-test/locations/global/buckets/test
2023-11-30T01:32:12.193243+00:00,211.58.157.43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,logging.sinks.create,projects/mzdmz-solution-test/sinks/test,projects/mzdmz-solution-test/sinks/test
2023-11-30T01:33:28.070800+00:00,211.58.157.43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,"resourcemanager.projects.setIamPolicy, resourcemanager.projects.setIamPolicy","projects/mzdmz-solution-test, projects/mzdmz-solution-test","projects/mzdmz-solution-test, projects/mzdmz-solution-test"
2023-11-30T01:50:03.692283+00:00,211.58.157.43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,logging.buckets.delete,projects/mzdmz-solution-test/locations/global/buckets/test,projects/mzdmz-solution-test/locations/global/buckets/test
2024-01-18T04:47:35.281274+00:00,218.146.20.61,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36,gzip(gfe),gzip(gfe)",admin@bobmzdmz.store,"resourcemanager.projects.setIamPolicy, resourcemanager.projects.setIamPolicy","projects/mzdmz-solution-test, projects/mzdmz-solution-test","projects/mzdmz-solution-test, projects/mzdmz-solution-test"
